iter	Passed	Remaining
590	16471	11398
591	16498	11370
592	16521	11339
593	16545	11308
594	16581	11286
595	16615	11262
596	16645	11236
597	16665	11203
598	16694	11176
599	16717	11144
600	16761	11127
601	16794	11103
602	16817	11072
603	16852	11048
604	16885	11024
605	16920	11001
606	16953	10976
607	16994	10957
608	17021	10928
609	17045	10898
610	17066	10865
611	17092	10836
612	17138	10819
613	17161	10788
614	17192	10762
615	17225	10737
616	17257	10712
617	17294	10690
618	17345	10676
619	17392	10660
620	17445	10647
621	17488	10627
622	17552	10621
623	17597	10603
624	17623	10573
625	17661	10551
626	17690	10524
627	17721	10497
628	17748	10468
629	17769	10435
630	17799	10409
631	17820	10376
632	17849	10348
633	17876	10320
634	17913	10296
635	17936	10265
636	17966	10238
637	17994	10209
638	18020	10180
639	18052	10154
640	18080	10126
641	18102	10094
642	18132	10067
643	18163	10040
644	18185	10009
645	18217	9983
646	18252	9958
647	18284	9932
648	18313	9904
649	18332	9871
650	18376	9851
651	18410	9826
652	18428	9793
653	18454	9763
654	18475	9731
655	18494	9698
656	18512	9664
657	18534	9633
658	18574	9611
659	18610	9587
660	18635	9557
661	18662	9528
662	18720	9515
663	18756	9491
664	18814	9478
665	18857	9456
666	18886	9429
667	18906	9396
668	18934	9368
669	18967	9342
670	18992	9312
671	19022	9284
672	19042	9252
673	19065	9221
674	19087	9190
675	19116	9162
676	19138	9130
677	19165	9101
678	19183	9069
679	19200	9035
680	19222	9004
681	19249	8975
682	19269	8943
683	19292	8912
684	19315	8882
685	19337	8851
686	19361	8821
687	19380	8788
688	19397	8755
689	19416	8723
690	19435	8691
691	19455	8659
692	19477	8628
693	19496	8596
694	19514	8563
695	19532	8531
696	19558	8502
697	19578	8470
698	19595	8437
699	19612	8405
700	19642	8378
701	19660	8345
702	19679	8314
703	19698	8282
704	19720	8251
705	19739	8220
706	19758	8188
707	19777	8156
708	19795	8124
709	19813	8092
710	19839	8064
711	19860	8033
712	19879	8002
713	19900	7971
714	19921	7940
715	19939	7908
716	19958	7877
717	19979	7846
718	20006	7819
719	20033	7790
720	20057	7761
721	20076	7730
722	20094	7698
723	20120	7670
724	20148	7642
725	20169	7612
726	20188	7581
727	20218	7553
728	20236	7522
729	20255	7491
730	20281	7463
731	20300	7432
732	20321	7402
733	20343	7372
734	20367	7343
735	20387	7312
736	20414	7284
737	20432	7253
738	20450	7222
739	20480	7195
740	20498	7164
741	20517	7133
742	20535	7103
743	20563	7075
744	20590	7047
745	20616	7019
746	20641	6990
747	20664	6961
748	20684	6931
749	20710	6903
750	20731	6873
751	20759	6846
752	20781	6816
753	20810	6789
754	20830	6759
755	20855	6731
756	20878	6702
757	20911	6676
758	20929	6645
759	20958	6618
760	20976	6587
761	20998	6558
762	21026	6531
763	21069	6508
764	21121	6488
765	21152	6461
766	21172	6431
767	21192	6401
768	21216	6373
769	21239	6344
770	21270	6317
771	21295	6289
772	21336	6265
773	21366	6238
774	21394	6211
775	21417	6182
776	21450	6156
777	21479	6129
778	21505	6101
779	21528	6072
780	21559	6045
781	21576	6014
782	21598	5985
783	21625	5958
784	21646	5928
785	21675	5901
786	21695	5871
787	21723	5844
788	21743	5814
789	21763	5785
790	21788	5756
791	21808	5727
792	21828	5697
793	21861	5671
794	21889	5644
795	21907	5614
796	21926	5584
797	21956	5557
798	21976	5528
799	22006	5501
800	22027	5472
801	22052	5444
802	22070	5414
803	22105	5388
804	22136	5362
805	22173	5337
806	22207	5311
807	22232	5283
808	22255	5254
809	22287	5227
810	22315	5200
811	22337	5171
812	22367	5144
813	22401	5118
814	22422	5089
815	22450	5062
816	22470	5033
817	22499	5006
818	22519	4976
819	22551	4950
820	22585	4924
821	22615	4897
822	22635	4868
823	22660	4840
824	22687	4812
825	22717	4785
826	22744	4757
827	22765	4729
828	22791	4701
829	22816	4673
830	22846	4646
831	22865	4617
832	22896	4590
833	22916	4561
834	22948	4534
835	22967	4505
836	22988	4476
837	23010	4448
838	23030	4419
839	23049	4390
840	23077	4363
841	23097	4334
842	23127	4307
843	23147	4278
844	23169	4250
845	23193	4221
846	23213	4193
847	23242	4166
848	23278	4140
849	23308	4113
850	23332	4085
851	23371	4059
852	23406	4033
853	23452	4009
854	23486	3983
855	23516	3955
856	23538	3927
857	23564	3899
858	23596	3873
859	23628	3846
860	23650	3818
861	23669	3789
862	23694	3761
863	23714	3732
864	23734	3704
865	23761	3676
866	23780	3648
867	23803	3619
868	23830	3592
869	23853	3564
870	23874	3535
871	23894	3507
872	23912	3478
873	23931	3450
874	23958	3422
875	23979	3394
876	23999	3365
877	24027	3338
878	24054	3311
879	24080	3283
880	24108	3256
881	24130	3228
882	24158	3201
883	24179	3172
884	24206	3145
885	24236	3118
886	24260	3090
887	24289	3063
888	24312	3035
889	24337	3008
890	24356	2979
891	24388	2952
892	24407	2924
893	24431	2896
894	24451	2868
895	24470	2840
896	24490	2812
897	24511	2784
898	24529	2755
899	24548	2727
900	24570	2699
901	24598	2672
902	24618	2644
903	24643	2616
904	24669	2589
905	24690	2561
906	24719	2534
907	24743	2507
908	24765	2479
909	24797	2452
910	24831	2425
911	24852	2398
912	24880	2370
913	24901	2343
914	24932	2316
915	24951	2288
916	24979	2260
917	24997	2232
918	25023	2205
919	25047	2178
920	25081	2151
921	25130	2126
922	25160	2099
923	25183	2071
924	25208	2043
925	25228	2016
926	25259	1989
927	25289	1962
928	25322	1935
929	25352	1908
930	25379	1880
931	25408	1853
932	25440	1826
933	25476	1800
934	25508	1773
935	25541	1746
936	25573	1719
937	25596	1691
938	25623	1664
939	25656	1637
940	25687	1610
941	25708	1582
942	25735	1555
943	25756	1527
944	25774	1500
945	25803	1472
946	25824	1445
947	25851	1418
948	25874	1390
949	25898	1363
950	25920	1335
951	25940	1307
952	25969	1280
953	25990	1253
954	26019	1226
955	26051	1199
956	26073	1171
957	26097	1144
958	26117	1116
959	26141	1089
960	26168	1062
961	26202	1035
962	26227	1007
963	26251	980
964	26284	953
965	26306	925
966	26329	898
967	26364	871
968	26399	844
969	26430	817
970	26450	789
971	26477	762
972	26501	735
973	26530	708
974	26555	680
975	26578	653
976	26606	626
977	26631	599
978	26660	571
979	26680	544
980	26712	517
981	26749	490
982	26777	463
983	26797	435
984	26822	408
985	26843	381
986	26861	353
987	26890	326
988	26932	299
989	26957	272
990	26994	245
991	27044	218
992	27092	190
993	27156	163
994	27188	136
995	27209	109
996	27243	81
997	27270	54
998	27304	27
999	27334	0
